"By administrative divisions(eup, myeon, dong)","Item","UNIT","2015 Year","2016 Year","2017 Year","2018 Year","2019 Year","2020 Year","2021 Year",
"Total for eups","House within commercial building[Housing]","Housing","3359","3270","3419","3449","3492","3550","3573",
"Total for eups","Living quaters other than housing unit[Housing]","Housing","4622","5122","6466","6652","6915","7437","8264",
"Total for myeons","Total population[Person]","Person","681198","694904","676350","675822","671818","654427","646390",
"Total for myeons","Male[Person]","Person","353965","361007","353298","354010","352947","343650","338364",
"Total for myeons","Female[Person]","Person","327233","333897","323052","321812","318871","310777","308026",
"Total for myeons","Korean - total[Person]","Person","646585","656946","635225","628950","621192","607393","600419",
"Total for myeons","Korean - male[Person]","Person","330254","335206","325533","322544","319076","312578","308574",
"Total for myeons","Korean - Female[Person]","Person","316331","321740","309692","306406","302116","294815","291845",
"Total for myeons","Foreigner-Total[Person]","Person","34613","37958","41125","46872","50626","47034","45971",
"Total for myeons","Foreigner-Male[Person]","Person","23711","25801","27765","31466","33871","31072","29790",
"Total for myeons","Foreigner-Female[Person]","Person","10902","12157","13360","15406","16755","15962","16181",
"Total for myeons","Household-Total[households]","households","270287","279700","275590","278364","279017","286331","292331",
"Total for myeons","Type of occupancy[households]","households","262355","270636","265542","267538","267585","274141","279565",
"Total for myeons","Institutional households[households]","households","561","459","606","615","592","668","628",
"Total for myeons","Foreigner household[households]","households","7371","8605","9442","10211","10840","11522","12138",
"Total for myeons","Housing units-Total[Housing]","Housing","276157","282920","277813","284699","286577","289018","291020",
"Total for myeons","Detached dwelling[Housing]","Housing","192619","191248","192171","193203","193152","193690","193939",
"Total for myeons","Apartment[Housing]","Housing","69806","77294","70775","75749","77177","78718","80353",
"Total for myeons","Row house[Housing]","Housing","3123","3398","3515","4215","4540","4764","4741",
"Total for myeons","Apartment unit ina private house[Housing]","Housing","7593","7992","8272","8434","8600","8647","8748",
"Total for myeons","House within commercial building[Housing]","Housing","3016","2988","3080","3098","3108","3199","3239",
"Total for myeons","Living quaters other than housing unit[Housing]","Housing","8399","10086","10292","10661","10697","11278","11607",
"Total for dongs","Total population[Person]","Person","937243","953255","978924","998205","1007784","1017035","1022693",
"Total for dongs","Male[Person]","Person","472587","480899","494380","504556","509152","513727","517507",
"Total for dongs","Female[Person]","Person","464656","472356","484544","493649","498632","503308","505186",
"Total for dongs","Korean - total[Person]","Person","915523","929575","952696","968488","975568","984622","989655",
"Total for dongs","Korean - male[Person]","Person","461304","468586","480894","489442","492908","497802","501240",
"Total for dongs","Korean - Female[Person]","Person","454219","460989","471802","479046","482660","486820","488415",
"Total for dongs","Foreigner-Total[Person]","Person","21720","23680","26228","29717","32216","32413","33038",
"Total for dongs","Foreigner-Male[Person]","Person","11283","12313","13486","15114","16244","15925","16267",
"Total for dongs","Foreigner-Female[Person]","Person","10437","11367","12742","14603","15972","16488","16771",
"Total for dongs","Household-Total[households]","households","357510","367533","383722","396212","406365","422655","435273",
"Total for dongs","Type of occupancy[households]","households","349263","358391","373688","385423","395118","410692","422513",
"Total for dongs","Institutional households[households]","households","289","225","256","302","285","288","296",
"Total for dongs","Foreigner household[households]","households","7958","8917","9778","10487","10962","11675","12464",
"Total for dongs","Housing units-Total[Housing]","Housing","299502","312157","329973","348332","356857","364918","368863",
"Total for dongs","Detached dwelling[Housing]","Housing","46719","47168","47522","47460","47007","46615","46474",
"Total for dongs","Apartment[Housing]","Housing","221990","233083","249826","267844","276248","284350","288455",
"Total for dongs","Row house[Housing]","Housing","8586","9003","9262","9389","9555","9666","9605",
"Total for dongs","Apartment unit ina private house[Housing]","Housing","17981","18642","19001","19209","19537","19732","19778",
"Total for dongs","House within commercial building[Housing]","Housing","4226","4261","4362","4430","4510","4555","4551",
"Total for dongs","Living quaters other than housing unit[Housing]","Housing","10276","11303","12214","14396","15519","17019","18481",
"Cheonan-si","Total population[Person]","Person","629062","638752","656294","671799","679743","682199","683888",
"Cheonan-si","Male[Person]","Person","322793","327305","336476","344688","348353","348584","349740",
"Cheonan-si","Female[Person]","Person","306269","311447","319818","327111","331390","333615","334148",
"Cheonan-si","Korean - total[Person]","Person","607003","615190","630747","643376","649584","653579","655410",
"Cheonan-si","Korean - male[Person]","Person","309266","312976","321063","327828","330692","332294","333702",
"Cheonan-si","Korean - Female[Person]","Person","297737","302214","309684","315548","318892","321285","321708",
"Cheonan-si","Foreigner-Total[Person]","Person","22059","23562","25547","28423","30159","28620","28478",
"Cheonan-si","Foreigner-Male[Person]","Person","13527","14329","15413","16860","17661","16290","16038",
"Cheonan-si","Foreigner-Female[Person]","Person","8532","9233","10134","11563","12498","12330","12440",
"Cheonan-si","Household-Total[households]","households","240021","246089","256193","265301","273053","284818","292290",
"Cheonan-si","Type of occupancy[households]","households","233491","238778","248356","256949","264383","275707","282491",
"Cheonan-si","Institutional households[households]","households","287","221","293","327","305","274","275",
"Cheonan-si","Foreigner household[households]","households","6243","7090","7544","8025","8365","8837","9524",
"Cheonan-si","Housing units-Total[Housing]","Housing","198554","208736","218368","231474","238264","244364","245351",
"Cheonan-si","Detached dwelling[Housing]","Housing","33429","33866","34176","34284","33997","33828","33872",
"Cheonan-si","Apartment[Housing]","Housing","145574","154380","163426","175564","182037","188202","189023",
"Cheonan-si","Row house[Housing]","Housing","4340","4992","5208","5868","6131","6225","6294",
"Cheonan-si","Apartment unit ina private house[Housing]","Housing","12467","12783","12851","13023","13331","13332","13417",
"Cheonan-si","House within commercial building[Housing]","Housing","2744","2715","2707","2735","2768","2777","2745",
"Cheonan-si","Living quaters other than housing unit[Housing]","Housing","8118","9613","10533","12643","13659","15031","16338",
"Dongnam-gu","Total population[Person]","Person","277781","276627","273839","276455","279153","273764","270836",
"Dongnam-gu","Male[Person]","Person","142078","141194","139765","141393","142402","138907","137117",
"Dongnam-gu","Female[Person]","Person","135703","135433","134074","135062","136751","134857","133719",
"Dongnam-gu","Korean - total[Person]","Person","267838","265906","262308","263455","265485","261189","258423",
"Dongnam-gu","Korean - male[Person]","Person","136228","134854","132933","133726","134436","131692","130010",
"Dongnam-gu","Korean - Female[Person]","Person","131610","131052","129375","129729","131049","129497","128413",
"Dongnam-gu","Foreigner-Total[Person]","Person","9943","10721","11531","13000","13668","12575","12413",
"Dongnam-gu","Foreigner-Male[Person]","Person","5850","6340","6832","7667","7966","7215","7107",
"Dongnam-gu","Foreigner-Female[Person]","Person","4093","4381","4699","5333","5702","5360","5306",
"Dongnam-gu","Household-Total[households]","households","105446","105886","106312","108638","112087","115604","116558",
"Dongnam-gu","Type of occupancy[households]","households","102360","102415","102689","104705","108123","111538","112262",
"Dongnam-gu","Institutional households[households]","households","152","112","137","157","150","141","143",
"Dongnam-gu","Foreigner household[households]","households","2934","3359","3486","3776","3814","3925","4153",
"Dongnam-gu","Housing units-Total[Housing]","Housing","86863","88456","89919","94903","98376","99254","99153",
"Dongnam-gu","Detached dwelling[Housing]","Housing","19937","20179","20157","20180","19901","19796","19805",
"Dongnam-gu","Apartment[Housing]","Housing","56977","57744","58993","63171","66670","67597","67430",
"Dongnam-gu","Row house[Housing]","Housing","2497","2945","3122","3746","3927","3977","3986",
"Dongnam-gu","Apartment unit ina private house[Housing]","Housing","6052","6195","6256","6397","6442","6431","6494",
"Dongnam-gu","House within commercial building[Housing]","Housing","1400","1393","1391","1409","1436","1453","1438",
"Dongnam-gu","Living quaters other than housing unit[Housing]","Housing","2770","3277","3336","3214","3205","3287","3403",
"Sebuk-gu","Total population[Person]","Person","351281","362125","382455","395344","400590","408435","413052",
"Sebuk-gu","Male[Person]","Person","180715","186111","196711","203295","205951","209677","212623",
"Sebuk-gu","Female[Person]","Person","170566","176014","185744","192049","194639","198758","200429",
"Sebuk-gu","Korean - total[Person]","Person","339165","349284","368439","379921","384099","392390","396987",
"Sebuk-gu","Korean - male[Person]","Person","173038","178122","188130","194102","196256","200602","203692",
"Sebuk-gu","Korean - Female[Person]","Person","166127","171162","180309","185819","187843","191788","193295",
"Sebuk-gu","Foreigner-Total[Person]","Person","12116","12841","14016","15423","16491","16045","16065",
"Sebuk-gu","Foreigner-Male[Person]","Person","7677","7989","8581","9193","9695","9075","8931",
"Sebuk-gu","Foreigner-Female[Person]","Person","4439","4852","5435","6230","6796","6970","7134",
"Sebuk-gu","Household-Total[households]","households","134575","140203","149881","156663","160966","169214","175732",
"Sebuk-gu","Type of occupancy[households]","households","131131","136363","145667","152244","156260","164169","170229",
"Sebuk-gu","Institutional households[households]","households","135","109","156","170","155","133","132",
"Sebuk-gu","Foreigner household[households]","households","3309","3731","4058","4249","4551","4912","5371",
"Sebuk-gu","Housing units-Total[Housing]","Housing","111691","120280","128449","136571","139888","145110","146198",
"Sebuk-gu","Detached dwelling[Housing]","Housing","13492","13687","14019","14104","14096","14032","14067",
"Sebuk-gu","Apartment[Housing]","Housing","88597","96636","104433","112393","115367","120605","121593",
"Sebuk-gu","Row house[Housing]","Housing","1843","2047","2086","2122","2204","2248","2308",
"Sebuk-gu","Apartment unit ina private house[Housing]","Housing","6415","6588","6595","6626","6889","6901","6923",
"Sebuk-gu","House within commercial building[Housing]","Housing","1344","1322","1316","1326","1332","1324","1307",
"Sebuk-gu","Living quaters other than housing unit[Housing]","Housing","5348","6336","7197","9429","10454","11744","12935",
"Gongju-si","Total population[Person]","Person","113542","112928","111017","110119","109877","108333","106915",
"Gongju-si","Male[Person]","Person","56610","55991","55006","54549","54485","53933","52782",
"Gongju-si","Female[Person]","Person","56932","56937","56011","55570","55392","54400","54133",
"Gongju-si","Korean - total[Person]","Person","111405","110709","108648","107456","106959","105547","104211",
"Gongju-si","Korean - male[Person]","Person","55553","54877","53831","53202","52984","52553","51409",
"Gongju-si","Korean - Female[Person]","Person","55852","55832","54817","54254","53975","52994","52802",
"Gongju-si","Foreigner-Total[Person]","Person","2137","2219","2369","2663","2918","2786","2704",
"Gongju-si","Foreigner-Male[Person]","Person","1057","1114","1175","1347","1501","1380","1373",
"Gongju-si","Foreigner-Female[Person]","Person","1080","1105","1194","1316","1417","1406","1331",
"Gongju-si","Household-Total[households]","households","43091","44551","44956","45256","45543","46981","47242",
"Gongju-si","Type of occupancy[households]","households","42461","43921","44298","44552","44816","46165","46411",
"Gongju-si","Institutional households[households]","households","82","63","59","78","77","94","85",
"Gongju-si","Foreigner household[households]","households","548","567","599","626","650","722","746",
"Gongju-si","Housing units-Total[Housing]","Housing","41325","41322","42343","43883","45271","45266","45172",
"Gongju-si","Detached dwelling[Housing]","Housing","23857","23848","23938","23934","23830","23748","23644",
"Gongju-si","Apartment[Housing]","Housing","14356","14357","15254","16776","18074","18072","18072",
"Gongju-si","Row house[Housing]","Housing","1163","1179","1187","1199","1335","1335","1335",
"Gongju-si","Apartment unit ina private house[Housing]","Housing","1266","1259","1264","1264","1304","1362","1363",
"Gongju-si","House within commercial building[Housing]","Housing","683","679","700","710","728","749","758",
"Gongju-si","Living quaters other than housing unit[Housing]","Housing","1114","1271","1353","1434","1392","1496","1507",
"Boryeong-si","Total population[Person]","Person","101852","101161","100922","100229","99320","99088","97390",
"Boryeong-si","Male[Person]","Person","52245","51976","52077","51911","51427","51355","50364",
"Boryeong-si","Female[Person]","Person","49607","49185","48845","48318","47893","47733","47026",
"Boryeong-si","Korean - total[Person]","Person","98888","98077","97614","96489","95202","95137","93413",
"Boryeong-si","Korean - male[Person]","Person","50056","49663","49563","49086","48314","48418","47415",
"Boryeong-si","Korean - Female[Person]","Person","48832","48414","48051","47403","46888","46719","45998",
"Boryeong-si","Foreigner-Total[Person]","Person","2964","3084","3308","3740","4118","3951","3977",
"Boryeong-si","Foreigner-Male[Person]","Person","2189","2313","2514","2825","3113","2937","2949",
"Boryeong-si","Foreigner-Female[Person]","Person","775","771","794","915","1005","1014","1028",
"Boryeong-si","Household-Total[households]","households","41359","41453","42025","42247","42160","43181","43928",
"Boryeong-si","Type of occupancy[households]","households","40691","40782","41277","41506","41410","42417","43135",
"Boryeong-si","Institutional households[households]","households","41","38","44","48","54","53","51",
"Boryeong-si","Foreigner household[households]","households","627","633","704","693","696","711","742",
"Boryeong-si","Housing units-Total[Housing]","Housing","40475","40843","42559","42545","43005","44089","44017",
"Boryeong-si","Detached dwelling[Housing]","Housing","22572","22608","22806","22886","22697","22542","22459",
"Boryeong-si","Apartment[Housing]","Housing","14955","15017","16475","16354","16818","18034","18033",
"Boryeong-si","Row house[Housing]","Housing","1378","1418","1424","1442","1615","1615","1616",
"Boryeong-si","Apartment unit ina private house[Housing]","Housing","825","1004","1039","1031","1032","1043","1039",
"Boryeong-si","House within commercial building[Housing]","Housing","745","796","815","832","843","855","870",
"Boryeong-si","Living quaters other than housing unit[Housing]","Housing","1116","1242","1248","1293","1306","1345","1407",
"Asan-si","Total population[Person]","Person","319929","328287","338473","342272","347032","340518","348727",
"Asan-si","Male[Person]","Person","166820","171258","177501","179837","182818","178858","182939",
"Asan-si","Female[Person]","Person","153109","157029","160972","162435","164214","161660","165788",
"Asan-si","Korean - total[Person]","Person","302716","308555","315848","316463","318633","312832","320384",
"Asan-si","Korean - male[Person]","Person","155672","158733","163312","163697","165184","162084","166242",
"Asan-si","Korean - Female[Person]","Person","147044","149822","152536","152766","153449","150748","154142",
"Asan-si","Foreigner-Total[Person]","Person","17213","19732","22625","25809","28399","27686","28343",
"Asan-si","Foreigner-Male[Person]","Person","11148","12525","14189","16140","17634","16774","16697",
"Asan-si","Foreigner-Female[Person]","Person","6065","7207","8436","9669","10765","10912","11646",
"Asan-si","Household-Total[households]","households","115381","119334","124912","128075","131316","136783","144799",
"Asan-si","Type of occupancy[households]","households","110601","113605","118216","120613","123229","128012","135276",
"Asan-si","Institutional households[households]","households","170","162","179","210","198","182","181",
"Asan-si","Foreigner household[households]","households","4610","5567","6517","7252","7889","8589","9342",
"Asan-si","Housing units-Total[Housing]","Housing","107098","108957","116558","120706","123673","126319","130041",
"Asan-si","Detached dwelling[Housing]","Housing","23059","23251","23571","24375","24661","24934","25225",
"Asan-si","Apartment[Housing]","Housing","76984","78359","85250","88306","90957","93267","96575",
"Asan-si","Row house[Housing]","Housing","1431","1513","1747","1928","1943","1980","2088",
"Asan-si","Apartment unit ina private house[Housing]","Housing","4694","4900","5000","5085","5095","5079","5082",
"Asan-si","House within commercial building[Housing]","Housing","930","934","990","1012","1017","1059","1071",
"Asan-si","Living quaters other than housing unit[Housing]","Housing","2701","3255","3852","3803","4027","4513","5289",
"Seosan-si","Total population[Person]","Person","169221","169643","171364","174177","175204","176379","177497",
"Seosan-si","Male[Person]","Person","87287","87634","88802","90379","91088","92061","92741",
"Seosan-si","Female[Person]","Person","81934","82009","82562","83798","84116","84318","84756",
"Seosan-si","Korean - total[Person]","Person","164492","164510","165964","167968","168621","170202","171473",
"Seosan-si","Korean - male[Person]","Person","84627","84725","85747","86869","87440","88638","89453",
"Seosan-si","Korean - Female[Person]","Person","79865","79785","80217","81099","81181","81564","82020",
"Seosan-si","Foreigner-Total[Person]","Person","4729","5133","5400","6209","6583","6177","6024",
"Seosan-si","Foreigner-Male[Person]","Person","2660","2909","3055","3510","3648","3423","3288",
"Seosan-si","Foreigner-Female[Person]","Person","2069","2224","2345","2699","2935","2754","2736",
"Seosan-si","Household-Total[households]","households","64936","66334","68127","70402","72030","74847","77659",
"Seosan-si","Type of occupancy[households]","households","63431","64727","66351","68462","70024","72765","75485",
"Seosan-si","Institutional households[households]","households","75","41","55","69","68","65","62",
"Seosan-si","Foreigner household[households]","households","1430","1566","1721","1871","1938","2017","2112",
"Seosan-si","Housing units-Total[Housing]","Housing","61894","63024","65936","71380","72837","73069","75088",
"Seosan-si","Detached dwelling[Housing]","Housing","23104","22833","23168","23252","23230","23270","23264",
"Seosan-si","Apartment[Housing]","Housing","31844","32899","35375","40666","42033","42092","44139",
"Seosan-si","Row house[Housing]","Housing","2024","2047","2097","2097","2097","2097","2065",
"Seosan-si","Apartment unit ina private house[Housing]","Housing","4161","4496","4529","4584","4662","4779","4783",
"Seosan-si","House within commercial building[Housing]","Housing","761","749","767","781","815","831","837",
"Seosan-si","Living quaters other than housing unit[Housing]","Housing","1131","1285","1418","1427","1551","1881","2001",
"Nonsan-si","Total population[Person]","Person","124246","124202","123774","122843","122111","119707","117262",
"Nonsan-si","Male[Person]","Person","62191","62317","62102","61625","61167","59849","58442",
"Nonsan-si","Female[Person]","Person","62055","61885","61672","61218","60944","59858","58820",
"Nonsan-si","Korean - total[Person]","Person","120100","119605","118862","117352","116166","114077","111868",
"Nonsan-si","Korean - male[Person]","Person","60003","59850","59528","58763","58076","57000","55794",
"Nonsan-si","Korean - Female[Person]","Person","60097","59755","59334","58589","58090","57077","56074",
"Nonsan-si","Foreigner-Total[Person]","Person","4146","4597","4912","5491","5945","5630","5394",
"Nonsan-si","Foreigner-Male[Person]","Person","2188","2467","2574","2862","3091","2849","2648",
"Nonsan-si","Foreigner-Female[Person]","Person","1958","2130","2338","2629","2854","2781","2746",
"Nonsan-si","Household-Total[households]","households","49239","49868","50382","50262","50560","51800","52379",
"Nonsan-si","Type of occupancy[households]","households","47995","48460","48844","48759","49004","50139","50723",
"Nonsan-si","Institutional households[households]","households","106","75","83","83","79","90","90",
"Nonsan-si","Foreigner household[households]","households","1138","1333","1455","1420","1477","1571","1566",
"Nonsan-si","Housing units-Total[Housing]","Housing","46731","46943","47771","48060","48874","48936","48915",
"Nonsan-si","Detached dwelling[Housing]","Housing","28547","28278","28352","28210","28050","27923","27785",
"Nonsan-si","Apartment[Housing]","Housing","15177","15581","16205","16625","17565","17761","17826",
"Nonsan-si","Row house[Housing]","Housing","1235","1235","1235","1234","1234","1234","1258",
"Nonsan-si","Apartment unit ina private house[Housing]","Housing","1071","1162","1279","1279","1296","1288","1316",
"Nonsan-si","House within commercial building[Housing]","Housing","701","687","700","712","729","730","730",
"Nonsan-si","Living quaters other than housing unit[Housing]","Housing","1284","1459","1538","1687","1665","1754","1890",
"Gyeryong-si","Total population[Person]","Person","39243","40576","41858","41557","41153","40854","41415",
"Gyeryong-si","Male[Person]","Person","19447","20119","20761","20621","20531","20370","20614",
"Gyeryong-si","Female[Person]","Person","19796","20457","21097","20936","20622","20484","20801",
"Gyeryong-si","Korean - total[Person]","Person","39029","40329","41627","41322","40839","40557","41153",
"Gyeryong-si","Korean - male[Person]","Person","19345","19999","20649","20520","20369","20234","20500",
"Gyeryong-si","Korean - Female[Person]","Person","19684","20330","20978","20802","20470","20323","20653",
"Gyeryong-si","Foreigner-Total[Person]","Person","214","247","231","235","314","297","262",
"Gyeryong-si","Foreigner-Male[Person]","Person","102","120","112","101","162","136","114",
"Gyeryong-si","Foreigner-Female[Person]","Person","112","127","119","134","152","161","148",
"Gyeryong-si","Household-Total[households]","households","13621","14130","14959","14971","15110","15207","15945",
"Gyeryong-si","Type of occupancy[households]","households","13545","14051","14890","14905","15028","15137","15882",
"Gyeryong-si","Institutional households[households]","households","12","7","12","12","10","8","14",
"Gyeryong-si","Foreigner household[households]","households","64","72","57","54","72","62","49",
"Gyeryong-si","Housing units-Total[Housing]","Housing","15202","16517","16277","16174","16225","17152","17156",
"Gyeryong-si","Detached dwelling[Housing]","Housing","1348","1392","1411","1425","1437","1444","1460",
"Gyeryong-si","Apartment[Housing]","Housing","13336","14604","14184","14064","14099","14868","14850",
"Gyeryong-si","Row house[Housing]","Housing","256","256","260","260","260","372","372",
"Gyeryong-si","Apartment unit ina private house[Housing]","Housing","229","236","380","380","380","421","421",
"Gyeryong-si","House within commercial building[Housing]","Housing","33","29","42","45","49","47","53",
"Gyeryong-si","Living quaters other than housing unit[Housing]","Housing","376","372","383","375","385","324","354",
"Dangjin-si","Total population[Person]","Person","163762","166043","168508","169965","169171","168955","169507",
"Dangjin-si","Male[Person]","Person","86801","88082","89656","90747","90358","90641","91060",
"Dangjin-si","Female[Person]","Person","76961","77961","78852","79218","78813","78314","78447",
"Dangjin-si","Korean - total[Person]","Person","157387","159267","161378","161999","160567","160772","161479",
"Dangjin-si","Korean - male[Person]","Person","82449","83476","84884","85437","84675","85360","85940",
"Dangjin-si","Korean - Female[Person]","Person","74938","75791","76494","76562","75892","75412","75539",
"Dangjin-si","Foreigner-Total[Person]","Person","6375","6776","7130","7966","8604","8183","8028",
"Dangjin-si","Foreigner-Male[Person]","Person","4352","4606","4772","5310","5683","5281","5120",
"Dangjin-si","Foreigner-Female[Person]","Person","2023","2170","2358","2656","2921","2902","2908",
"Dangjin-si","Household-Total[households]","households","64405","66234","67940","69395","70240","71690","74274",
"Dangjin-si","Type of occupancy[households]","households","62697","64303","65860","67159","67758","69099","71602",
"Dangjin-si","Institutional households[households]","households","75","72","98","100","86","87","80",
"Dangjin-si","Foreigner household[households]","households","1633","1859","1982","2136","2396","2504","2592",
"Dangjin-si","Housing units-Total[Housing]","Housing","55487","58838","60720","63534","63441","64504","66931",
"Dangjin-si","Detached dwelling[Housing]","Housing","22339","22562","23197","23062","22898","22973","23018",
"Dangjin-si","Apartment[Housing]","Housing","26865","29673","30595","33414","33414","34313","36628",
"Dangjin-si","Row house[Housing]","Housing","2241","2276","2280","2276","2279","2324","2297",
"Dangjin-si","Apartment unit ina private house[Housing]","Housing","3295","3588","3853","3988","4064","4098","4193",
"Dangjin-si","House within commercial building[Housing]","Housing","747","739","795","794","786","796","795",
"Dangjin-si","Living quaters other than housing unit[Housing]","Housing","2195","2298","2269","2231","2280","2315","2288",
"Geumsan-gun","Total population[Person]","Person","55923","56697","55672","55015","54442","53758","52436",
"Geumsan-gun","Male[Person]","Person","28086","28688","28047","27627","27198","26834","26146",
"Geumsan-gun","Female[Person]","Person","27837","28009","27625","27388","27244","26924","26290",
"Geumsan-gun","Korean - total[Person]","Person","54252","54804","53499","52184","51201","50782","49653",
"Geumsan-gun","Korean - male[Person]","Person","27162","27663","26889","26171","25584","25396","24813",
"Geumsan-gun","Korean - Female[Person]","Person","27090","27141","26610","26013","25617","25386","24840",
"Geumsan-gun","Foreigner-Total[Person]","Person","1671","1893","2173","2831","3241","2976","2783",
"Geumsan-gun","Foreigner-Male[Person]","Person","924","1025","1158","1456","1614","1438","1333",
"Geumsan-gun","Foreigner-Female[Person]","Person","747","868","1015","1375","1627","1538","1450",
"Geumsan-gun","Household-Total[households]","households","23290","24420","23621","23434","23172","24102","24171",
"Geumsan-gun","Type of occupancy[households]","households","22820","23913","23044","22889","22450","23257","23299",
"Geumsan-gun","Institutional households[households]","households","44","51","94","66","46","121","117",
"Geumsan-gun","Foreigner household[households]","households","426","456","483","479","676","724","755",
"Geumsan-gun","Housing units-Total[Housing]","Housing","22672","22706","22946","22957","23104","23266","23307",
"Geumsan-gun","Detached dwelling[Housing]","Housing","15883","15863","16029","16039","16070","16124","16060",
"Geumsan-gun","Apartment[Housing]","Housing","4849","4897","4913","4909","4946","5020","5101",
"Geumsan-gun","Row house[Housing]","Housing","588","588","588","588","609","609","610",
"Geumsan-gun","Apartment unit ina private house[Housing]","Housing","1017","1028","1046","1046","1101","1117","1133",
"Geumsan-gun","House within commercial building[Housing]","Housing","335","330","370","375","378","396","403",
"Geumsan-gun","Living quaters other than housing unit[Housing]","Housing","971","928","1070","1107","1031","1088","1120",
"Buyeo-gun","Total population[Person]","Person","69017","68152","67028","66527","65337","64207","62415",
"Buyeo-gun","Male[Person]","Person","34262","33776","33215","32997","32446","31844","30882",
"Buyeo-gun","Female[Person]","Person","34755","34376","33813","33530","32891","32363","31533",
"Buyeo-gun","Korean - total[Person]","Person","67337","66471","65347","64769","63440","62580","60788",
"Buyeo-gun","Korean - male[Person]","Person","33368","32852","32322","32053","31450","31037","30065",
"Buyeo-gun","Korean - Female[Person]","Person","33969","33619","33025","32716","31990","31543","30723",
"Buyeo-gun","Foreigner-Total[Person]","Person","1680","1681","1681","1758","1897","1627","1627",
"Buyeo-gun","Foreigner-Male[Person]","Person","894","924","893","944","996","807","817",
"Buyeo-gun","Foreigner-Female[Person]","Person","786","757","788","814","901","820","810",
"Buyeo-gun","Household-Total[households]","households","28190","28321","28267","28605","28303","28671","28848",
"Buyeo-gun","Type of occupancy[households]","households","27852","27985","27933","28265","27982","28332","28500",
"Buyeo-gun","Institutional households[households]","households","39","33","36","37","41","42","39",
"Buyeo-gun","Foreigner household[households]","households","299","303","298","303","280","297","309",
"Buyeo-gun","Housing units-Total[Housing]","Housing","28824","28546","28922","29848","29614","29661","29582",
"Buyeo-gun","Detached dwelling[Housing]","Housing","23033","22324","22652","22551","22323","22345","22250",
"Buyeo-gun","Apartment[Housing]","Housing","3555","3951","3951","4978","4978","4978","4978",
"Buyeo-gun","Row house[Housing]","Housing","889","925","909","910","915","935","937",
"Buyeo-gun","Apartment unit ina private house[Housing]","Housing","873","891","898","898","897","897","897",
"Buyeo-gun","House within commercial building[Housing]","Housing","474","455","512","511","501","506","520",
"Buyeo-gun","Living quaters other than housing unit[Housing]","Housing","648","751","778","813","786","797","808",
"Seocheon-gun","Total population[Person]","Person","54768","53880","53321","52604","51826","51039","50012",
"Seocheon-gun","Male[Person]","Person","27161","26727","26510","26272","26010","25533","24936",
"Seocheon-gun","Female[Person]","Person","27607","27153","26811","26332","25816","25506","25076",
"Seocheon-gun","Korean - total[Person]","Person","53278","52357","51735","50793","49836","49240","48258",
"Seocheon-gun","Korean - male[Person]","Person","26147","25646","25363","24951","24562","24238","23650",
"Seocheon-gun","Korean - Female[Person]","Person","27131","26711","26372","25842","25274","25002","24608",
"Seocheon-gun","Foreigner-Total[Person]","Person","1490","1523","1586","1811","1990","1799","1754",
"Seocheon-gun","Foreigner-Male[Person]","Person","1014","1081","1147","1321","1448","1295","1286",
"Seocheon-gun","Foreigner-Female[Person]","Person","476","442","439","490","542","504","468",
"Seocheon-gun","Household-Total[households]","households","23473","23191","23247","23167","22945","23143","23350",
"Seocheon-gun","Type of occupancy[households]","households","23146","22848","22895","22804","22581","22790","22999",
"Seocheon-gun","Institutional households[households]","households","24","25","20","30","35","32","36",
"Seocheon-gun","Foreigner household[households]","households","303","318","332","333","329","321","315",
"Seocheon-gun","Housing units-Total[Housing]","Housing","24718","24654","24767","24799","24917","25647","26078",
"Seocheon-gun","Detached dwelling[Housing]","Housing","18622","18516","18542","18519","18489","18421","18327",
"Seocheon-gun","Apartment[Housing]","Housing","3546","3546","3546","3548","3699","4480","4973",
"Seocheon-gun","Row house[Housing]","Housing","1119","1147","1234","1248","1246","1245","1256",
"Seocheon-gun","Apartment unit ina private house[Housing]","Housing","1004","1017","1009","1045","1048","1057","1064",
"Seocheon-gun","House within commercial building[Housing]","Housing","427","428","436","439","435","444","458",
"Seocheon-gun","Living quaters other than housing unit[Housing]","Housing","552","576","648","703","690","717","727",
"Cheongyang-gun","Total population[Person]","Person","31653","31440","31299","31181","30783","30103","30103",
"Cheongyang-gun","Male[Person]","Person","15841","15722","15692","15739","15600","15202","15322",
"Cheongyang-gun","Female[Person]","Person","15812","15718","15607","15442","15183","14901","14781",
"Cheongyang-gun","Korean - total[Person]","Person","31001","30755","30581","30335","29885","29229","29221",
"Cheongyang-gun","Korean - male[Person]","Person","15499","15382","15349","15328","15162","14798","14886",
"Cheongyang-gun","Korean - Female[Person]","Person","15502","15373","15232","15007","14723","14431","14335",
"Cheongyang-gun","Foreigner-Total[Person]","Person","652","685","718","846","898","874","882",
"Cheongyang-gun","Foreigner-Male[Person]","Person","342","340","343","411","438","404","436",
"Cheongyang-gun","Foreigner-Female[Person]","Person","310","345","375","435","460","470","446",
"Cheongyang-gun","Household-Total[households]","households","13182","13257","13506","13683","13571","13745","13916",
"Cheongyang-gun","Type of occupancy[households]","households","13004","13084","13327","13493","13382","13532","13700",
"Cheongyang-gun","Institutional households[households]","households","30","13","17","16","18","21","19",
"Cheongyang-gun","Foreigner household[households]","households","148","160","162","174","171","192","197",
