"By administrative divisions(eup, myeon, dong)","Item","UNIT","2015 Year","2016 Year","2017 Year","2018 Year","2019 Year","2020 Year","2021 Year",
"Jung-gu","Apartment[Housing]","Housing","22186","22923","23874","24417","25823","26102","26327",
"Jung-gu","Row house[Housing]","Housing","1975","1955","1948","1944","1940","1944","1896",
"Jung-gu","Apartment unit ina private house[Housing]","Housing","6148","6333","6491","6719","7095","7352","7370",
"Jung-gu","House within commercial building[Housing]","Housing","733","736","891","888","861","869","861",
"Jung-gu","Living quaters other than housing unit[Housing]","Housing","3549","4220","4773","4958","5286","5695","6751",
"Yongsan-gu","Total population[Person]","Person","227282","224993","223898","226938","227181","225882","221688",
"Yongsan-gu","Male[Person]","Person","109980","108520","108471","110685","110934","109162","106910",
"Yongsan-gu","Female[Person]","Person","117302","116473","115427","116253","116247","116720","114778",
"Yongsan-gu","Korean - total[Person]","Person","212189","209710","207893","207812","206678","208602","205288",
"Yongsan-gu","Korean - male[Person]","Person","102154","100642","99759","99806","99313","99866","98233",
"Yongsan-gu","Korean - Female[Person]","Person","110035","109068","108134","108006","107365","108736","107055",
"Yongsan-gu","Foreigner-Total[Person]","Person","15093","15283","16005","19126","20503","17280","16400",
"Yongsan-gu","Foreigner-Male[Person]","Person","7826","7878","8712","10879","11621","9296","8677",
"Yongsan-gu","Foreigner-Female[Person]","Person","7267","7405","7293","8247","8882","7984","7723",
"Yongsan-gu","Household-Total[households]","households","96385","96097","96975","98580","99777","101431","102638",
"Yongsan-gu","Type of occupancy[households]","households","90313","90164","91102","92500","93177","95714","96989",
"Yongsan-gu","Institutional households[households]","households","68","65","85","95","80","89","91",
"Yongsan-gu","Foreigner household[households]","households","6004","5868","5788","5985","6520","5628","5558",
"Yongsan-gu","Housing units-Total[Housing]","Housing","70723","70868","71356","71680","72463","74542","75739",
"Yongsan-gu","Detached dwelling[Housing]","Housing","15503","15302","14993","14792","14487","14064","13716",
"Yongsan-gu","Apartment[Housing]","Housing","35343","35310","35648","35728","36181","37676","38631",
"Yongsan-gu","Row house[Housing]","Housing","4029","3974","3985","3996","3959","3969","3911",
"Yongsan-gu","Apartment unit ina private house[Housing]","Housing","15206","15653","15988","16416","17107","18124","18785",
"Yongsan-gu","House within commercial building[Housing]","Housing","642","629","742","748","729","709","696",
"Yongsan-gu","Living quaters other than housing unit[Housing]","Housing","4036","4321","4790","5518","6151","6611","6953",
"Seongdong-gu","Total population[Person]","Person","295006","294744","302367","306796","299688","291918","286469",
"Seongdong-gu","Male[Person]","Person","146332","145935","149060","150623","146630","142128","139181",
"Seongdong-gu","Female[Person]","Person","148674","148809","153307","156173","153058","149790","147288",
"Seongdong-gu","Korean - total[Person]","Person","285137","284735","291931","295489","287914","281266","276273",
"Seongdong-gu","Korean - male[Person]","Person","141429","141022","144018","145220","141020","137301","134666",
"Seongdong-gu","Korean - Female[Person]","Person","143708","143713","147913","150269","146894","143965","141607",
"Seongdong-gu","Foreigner-Total[Person]","Person","9869","10009","10436","11307","11774","10652","10196",
"Seongdong-gu","Foreigner-Male[Person]","Person","4903","4913","5042","5403","5610","4827","4515",
"Seongdong-gu","Foreigner-Female[Person]","Person","4966","5096","5394","5904","6164","5825","5681",
"Seongdong-gu","Household-Total[households]","households","118900","120625","125421","128602","127557","126658","127440",
"Seongdong-gu","Type of occupancy[households]","households","114719","116401","120957","123963","122770","122186","122756",
"Seongdong-gu","Institutional households[households]","households","75","55","75","78","79","69","75",
"Seongdong-gu","Foreigner household[households]","households","4106","4169","4389","4561","4708","4403","4609",
"Seongdong-gu","Housing units-Total[Housing]","Housing","82331","80977","86650","87830","91037","91329","91033",
"Seongdong-gu","Detached dwelling[Housing]","Housing","11250","11155","11044","10944","10782","10525","9916",
"Seongdong-gu","Apartment[Housing]","Housing","59331","57548","62985","63976","67058","67584","68090",
"Seongdong-gu","Row house[Housing]","Housing","2076","2063","2055","2032","2021","1990","1976",
"Seongdong-gu","Apartment unit ina private house[Housing]","Housing","8610","9172","9470","9785","10095","10158","10031",
"Seongdong-gu","House within commercial building[Housing]","Housing","1064","1039","1096","1093","1081","1072","1020",
"Seongdong-gu","Living quaters other than housing unit[Housing]","Housing","4507","5118","5432","5705","5851","6092","6509",
"Gwangjin-gu","Total population[Person]","Person","368199","363979","363934","362304","359766","353967","347099",
"Gwangjin-gu","Male[Person]","Person","180647","177858","177156","175762","174027","169925","166469",
"Gwangjin-gu","Female[Person]","Person","187552","186121","186778","186542","185739","184042","180630",
"Gwangjin-gu","Korean - total[Person]","Person","350993","346476","345535","342575","338841","333985","328395",
"Gwangjin-gu","Korean - male[Person]","Person","172622","169766","168833","166730","164553","161130","158337",
