"By administrative divisions","By age ","Item","UNIT","1960 Year","1966 Year","1970 Year","1975 Year","1980 Year","1985 Year","1990 Year","1995 Year","2000 Year","2005 Year","2010 Year",
"Whole country","15 - 64 Years old","Male[Person]","Person","","","","","","","","16020358","16692007","17021457","17602812",
"Whole country","15 - 64 Years old","Female[Person]","Person","","","","","","","","15657234","16280852","16668631","17176309",
"Whole country","15 - 64 Years old","Sex ratio","","","","","","","","","102.32","102.53","102.12","102.5",
"Whole country","65 Years old","Population[Person]","Person","","","","","","","","2640205","3371806","4365218","5424667",
"Whole country","65 Years old","Male[Person]","Person","","","","","","","","974704","1287397","1736346","2197606",
"Whole country","65 Years old","Female[Person]","Person","","","","","","","","1665501","2084409","2628872","3227061",
"Whole country","65 Years old","Sex ratio","","","","","","","","","58.52","61.76","66.05","68.1",
"Whole country","Mean age","Population[Person]","Person","","","","","","","","","33.3","35.64","38.1",
"Whole country","Mean age","Male[Person]","Person","","","","","","","","","32.1","34.44","36.8",
"Whole country","Mean age","Female[Person]","Person","","","","","","","","","34.5","36.83","39.3",
"Whole country","Mean age","Sex ratio","","","","","","","","","","","0","",
"Whole country","Median age","Population[Person]","Person","","","","","","","","","32","35","38.1",
"Whole country","Median age","Male[Person]","Person","","","","","","","","","31","34.01","37",
"Whole country","Median age","Female[Person]","Person","","","","","","","","","33.1","36.03","39.3",
"Whole country","Median age","Sex ratio","","","","","","","","","","","0","",
"City area","Total","Population[Person]","Person","6996746","","12928822","16769946","21409453","26417972","32290055","","","","",
"City area","Total","Male[Person]","Person","3494003","","6485721","8369909","10697846","13154130","16189140","","","","",
"City area","Total","Female[Person]","Person","3502743","","6443101","8400037","10711607","13263842","16100915","","","","",
"City area","Total","Sex ratio","","99.75","","100.66","99.64","99.87","99.17","100.55","","","","",
"City area","0-4 Years old","Population[Person]","Person","913655","","1649584","2070351","2273031","2539737","2635852","","","","",
"City area","0-4 Years old","Male[Person]","Person","469053","","852895","1072681","1178176","1322384","1388863","","","","",
"City area","0-4 Years old","Female[Person]","Person","444602","","796689","997670","1094855","1217353","1246989","","","","",
"City area","0-4 Years old","Sex ratio","","105.5","","107.05","107.52","107.61","108.63","111.38","","","","",
"City area","5-9 Years old","Population[Person]","Person","1045696","","1577949","1926088","2419884","2535806","2952988","","","","",
"City area","5-9 Years old","Male[Person]","Person","538798","","820629","1000834","1257571","1320469","1534322","","","","",
"City area","5-9 Years old","Female[Person]","Person","506898","","757320","925254","1162313","1215337","1418666","","","","",
"City area","5-9 Years old","Sex ratio","","106.29","","108.36","108.17","108.2","108.65","108.15","","","","",
"City area","10-14 Years old","Population[Person]","Person","775168","","1676519","1904235","2255039","2759167","2922187","","","","",
"City area","10-14 Years old","Male[Person]","Person","401059","","863671","990443","1180652","1442253","1517936","","","","",
"City area","10-14 Years old","Female[Person]","Person","374109","","812848","913792","1074387","1316914","1404251","","","","",
"City area","10-14 Years old","Sex ratio","","107.2","","106.25","108.39","109.89","109.52","108.1","","","","",
"City area","15-19 Years old","Population[Person]","Person","775984","","1582832","2304912","2588356","2924204","3319367","","","","",
"City area","15-19 Years old","Male[Person]","Person","398104","","790188","1145553","1310122","1482734","1686335","","","","",
"City area","15-19 Years old","Female[Person]","Person","377880","","792644","1159359","1278234","1441470","1633032","","","","",
"City area","15-19 Years old","Sex ratio","","105.35","","99.69","98.81","102.49","102.86","103.26","","","","",
"City area","20-24 Years old","Population[Person]","Person","680510","","1293807","1741607","2598725","2957314","3350927","","","","",
"City area","20-24 Years old","Male[Person]","Person","341087","","622765","824153","1227279","1392732","1646025","","","","",
"City area","20-24 Years old","Female[Person]","Person","339423","","671042","917454","1371446","1564582","1704902","","","","",
"City area","20-24 Years old","Sex ratio","","100.49","","92.81","89.83","89.49","89.02","96.55","","","","",
"City area","25-29 Years old","Population[Person]","Person","569640","","1141881","1488890","2097189","2984933","3502855","","","","",
"City area","25-29 Years old","Male[Person]","Person","258538","","569882","731969","1038016","1466292","1720176","","","","",
"City area","25-29 Years old","Female[Person]","Person","311102","","571999","756921","1059173","1518641","1782679","","","","",
"City area","25-29 Years old","Sex ratio","","83.1","","99.63","96.7","98","96.55","96.49","","","","",
"City area","30-34 Years old","Population[Person]","Person","498673","","1030631","1262009","1682402","2269380","3404627","","","","",
"City area","30-34 Years old","Male[Person]","Person","230510","","537631","655017","864854","1154816","1724949","","","","",
"City area","30-34 Years old","Female[Person]","Person","268163","","493000","606992","817548","1114564","1679678","","","","",
"City area","30-34 Years old","Sex ratio","","85.96","","109.05","107.91","105.79","103.61","102.7","","","","",
"City area","35-39 Years old","Population[Person]","Person","447047","","796853","1117597","1388308","1849691","2558571","","","","",
"City area","35-39 Years old","Male[Person]","Person","223006","","405807","580158","718728","944029","1314855","","","","",
"City area","35-39 Years old","Female[Person]","Person","224041","","391046","537439","669580","905662","1243716","","","","",
