"By administrative divisions","By age ","Item","UNIT","1960 Year","1966 Year","1970 Year","1975 Year","1980 Year","1985 Year","1990 Year","1995 Year","2000 Year","2005 Year","2010 Year",
"Gyeonggi-do","10-14 Years old","Sex ratio","","109.07","105.84","106.33","105.12","104.34","103.6","103.82","104.49","107.74","109.31","107.5",
"Gyeonggi-do","15-19 Years old","Population[Person]","Person","254638","245356","308903","494233","566615","435954","518270","553492","651231","665385","815660",
"Gyeonggi-do","15-19 Years old","Male[Person]","Person","132019","126837","156600","247973","283906","219356","260265","279801","331531","340727","426147",
"Gyeonggi-do","15-19 Years old","Female[Person]","Person","122619","118519","152303","246260","282709","216598","258005","273691","319700","324658","389513",
"Gyeonggi-do","15-19 Years old","Sex ratio","","107.67","107.02","102.82","100.7","100.42","101.27","100.88","102.23","103.7","104.95","109.4",
"Gyeonggi-do","20-24 Years old","Population[Person]","Person","254815","252462","258493","366667","581301","525835","607812","660876","647330","736873","685567",
"Gyeonggi-do","20-24 Years old","Male[Person]","Person","127724","126562","129485","181594","285246","261555","296190","330555","331626","376380","357162",
"Gyeonggi-do","20-24 Years old","Female[Person]","Person","127091","125900","129008","185073","296055","264280","311622","330321","315704","360493","328405",
"Gyeonggi-do","20-24 Years old","Sex ratio","","100.5","100.53","100.37","98.12","96.35","98.97","95.05","100.07","105.04","104.41","108.8",
"Gyeonggi-do","25-29 Years old","Population[Person]","Person","225970","250866","248944","305148","465697","584149","759414","771545","800754","797740","821115",
"Gyeonggi-do","25-29 Years old","Male[Person]","Person","108734","120151","119700","152252","233791","289419","372125","376320","391249","399215","416451",
"Gyeonggi-do","25-29 Years old","Female[Person]","Person","117236","130715","129244","152896","231906","294730","387289","395225","409505","398525","404664",
"Gyeonggi-do","25-29 Years old","Sex ratio","","92.75","91.92","92.62","99.58","100.81","98.2","96.08","95.22","95.54","100.17","102.9",
"Gyeonggi-do","30-34 Years old","Population[Person]","Person","172911","221806","249853","279016","360994","432107","736161","891015","915807","999782","924453",
"Gyeonggi-do","30-34 Years old","Male[Person]","Person","82691","112377","126407","142489","192633","232453","390663","450853","452077","495165","461923",
"Gyeonggi-do","30-34 Years old","Female[Person]","Person","90220","109429","123446","136527","168361","199654","345498","440162","463730","504617","462530",
"Gyeonggi-do","30-34 Years old","Sex ratio","","91.65","102.69","102.4","104.37","114.42","116.43","113.07","102.43","97.49","98.13","99.9",
"Gyeonggi-do","35-39 Years old","Population[Person]","Person","155701","164510","205802","264099","295172","304302","465280","814843","963966","1038338","1074259",
"Gyeonggi-do","35-39 Years old","Male[Person]","Person","75098","78841","104479","137226","154504","167633","257926","435487","495402","520154","537506",
"Gyeonggi-do","35-39 Years old","Female[Person]","Person","80603","85669","101323","126873","140668","136669","207354","379356","468564","518184","536753",
"Gyeonggi-do","35-39 Years old","Sex ratio","","93.17","92.03","103.11","108.16","109.84","122.66","124.39","114.8","105.73","100.38","100.1",
"Gyeonggi-do","40-44 Years old","Population[Person]","Person","136933","143409","153226","208021","263361","228661","303061","501916","824978","1000847","1059502",
"Gyeonggi-do","40-44 Years old","Male[Person]","Person","70837","70226","72677","105042","135570","118736","166024","275823","440648","517694","533139",
"Gyeonggi-do","40-44 Years old","Female[Person]","Person","66096","73183","80549","102979","127791","109925","137037","226093","384330","483153","526363",
"Gyeonggi-do","40-44 Years old","Sex ratio","","107.17","95.96","90.23","102","106.09","108.02","121.15","122","114.65","107.15","101.3",
"Gyeonggi-do","45-49 Years old","Population[Person]","Person","120325","124509","139259","155618","217577","219348","251964","347244","514982","845899","992903",
"Gyeonggi-do","45-49 Years old","Male[Person]","Person","62410","64201","68920","71866","107896","109234","126998","184309","274425","443252","507910",
"Gyeonggi-do","45-49 Years old","Female[Person]","Person","57915","60308","70339","83752","109681","110114","124966","162935","240557","402647","484993",
"Gyeonggi-do","45-49 Years old","Sex ratio","","107.76","106.46","97.98","85.81","98.37","99.2","101.63","113.12","114.08","110.08","104.7",
"Gyeonggi-do","50-54 Years old","Population[Person]","Person","102247","106848","115275","139658","159918","184037","240140","284612","368661","541477","837407",
"Gyeonggi-do","50-54 Years old","Male[Person]","Person","53397","54302","58732","68076","72278","87637","116464","142121","189882","280181","429542",
"Gyeonggi-do","50-54 Years old","Female[Person]","Person","48850","52546","56543","71582","87640","96400","123676","142491","178779","261296","407865",
"Gyeonggi-do","50-54 Years old","Sex ratio","","109.31","103.34","103.87","95.1","82.47","90.91","94.17","99.74","106.21","107.23","105.3",
"Gyeonggi-do","55-59 Years old","Population[Person]","Person","72874","87438","97711","114311","142921","141903","205333","267425","306363","402482","544701",
"Gyeonggi-do","55-59 Years old","Male[Person]","Person","35980","43769","48858","56394","66314","61761","95204","127894","149227","200624","273813",
"Gyeonggi-do","55-59 Years old","Female[Person]","Person","36894","43669","48853","57917","76607","80142","110129","139531","157136","201858","270888",
"Gyeonggi-do","55-59 Years old","Sex ratio","","97.52","100.23","100.01","97.37","86.56","77.06","86.45","91.66","94.97","99.39","101.1",
"Gyeonggi-do","60-64 Years old","Population[Person]","Person","56240","58096","72447","89706","107299","116185","146498","213174","278812","334570","409903",
"Gyeonggi-do","60-64 Years old","Male[Person]","Person","26342","27176","34780","42881","50146","51229","61917","95747","129267","157933","198526",
"Gyeonggi-do","60-64 Years old","Female[Person]","Person","29898","30920","37667","46825","57153","64956","84581","117427","149545","176637","211377",
"Gyeonggi-do","60-64 Years old","Sex ratio","","88.11","87.89","92.34","91.58","87.74","78.87","73.2","81.54","86.44","89.41","93.9",
"Gyeonggi-do","65-69 Years old","Population[Person]","Person","42717","41382","45519","62812","80330","85560","116564","147551","215063","293283","340181",
"Gyeonggi-do","65-69 Years old","Male[Person]","Person","18865","18005","19751","28203","35656","38190","49591","59661","93472","132154","155571",
"Gyeonggi-do","65-69 Years old","Female[Person]","Person","23852","23377","25768","34609","44674","47370","66973","87890","121591","161129","184610",
"Gyeonggi-do","65-69 Years old","Sex ratio","","79.09","77.02","76.65","81.49","79.81","80.62","74.05","67.88","76.87","82.02","84.3",
"Gyeonggi-do","70-74 Years old","Population[Person]","Person","28207","26850","29154","35566","51500","57722","76726","107557","141170","216409","287751",
"Gyeonggi-do","70-74 Years old","Male[Person]","Person","11881","10849","11560","13966","21175","23936","32114","42117","54085","90544","124663",
"Gyeonggi-do","70-74 Years old","Female[Person]","Person","16326","16001","17594","21600","30325","33786","44612","65440","87085","125865","163088",
"Gyeonggi-do","70-74 Years old","Sex ratio","","72.77","67.8","65.7","64.66","69.83","70.85","71.99","64.36","62.11","71.94","76.4",
"Gyeonggi-do","75-79 Years old","Population[Person]","Person","15853","15389","17060","19850","25981","33875","46638","63690","91256","130029","195126",
"Gyeonggi-do","75-79 Years old","Male[Person]","Person","6330","5708","6131","6870","8759","12630","17193","23728","33019","46981","75760",
"Gyeonggi-do","75-79 Years old","Female[Person]","Person","9523","9681","10929","12980","17222","21245","29445","39962","58237","83048","119366",
"Gyeonggi-do","75-79 Years old","Sex ratio","","66.47","58.96","56.1","52.93","50.86","59.45","58.39","59.38","56.7","56.57","63.5",
"Gyeonggi-do","80-84 Years old","Population[Person]","Person","6664","6208","7363","9182","11609","13889","22681","33163","46132","72918","106859",
"Gyeonggi-do","80-84 Years old","Male[Person]","Person","2496","2114","2360","2657","3213","3983","7177","10418","15159","24017","34224",
"Gyeonggi-do","80-84 Years old","Female[Person]","Person","4168","4094","5003","6525","8396","9906","15504","22745","30973","48901","72635",
"Gyeonggi-do","80-84 Years old","Sex ratio","","59.88","51.64","47.17","40.72","38.27","40.21","46.29","45.8","48.94","49.11","47.1",
"Gyeonggi-do","85 Years old & over","Population[Person]","Person","2585","2271","2882","4118","5451","8037","10342","16732","25635","39964","68650",
"Gyeonggi-do","85 Years old & over","Male[Person]","Person","892","696","760","986","1154","1539","2213","4013","6433","10700","18492",
"Gyeonggi-do","85 Years old & over","Female[Person]","Person","1693","1575","2122","3132","4297","6498","8129","12719","19202","29264","50158",
"Gyeonggi-do","85 Years old & over","Sex ratio","","52.69","44.19","35.82","31.48","26.86","23.68","27.22","31.55","33.5","36.56","36.9",
"Gyeonggi-do","Age unknown","Population[Person]","Person","1505","9","","","3","56","9","44","297","0","",
"Gyeonggi-do","Age unknown","Male[Person]","Person","758","7","","","1","18","4","24","227","0","",
"Gyeonggi-do","Age unknown","Female[Person]","Person","747","2","","","2","38","5","20","70","0","",
"Gyeonggi-do","Age unknown","Sex ratio","","101.47","350","","","50","47.37","80","120","324.29","0","",
"Gyeonggi-do","14 and under","Population[Person]","Person","","","","","","","","1963063","2145315","2225010","2032016",
"Gyeonggi-do","14 and under","Male[Person]","Person","","","","","","","","1017892","1119633","1156286","1048741",
"Gyeonggi-do","14 and under","Female[Person]","Person","","","","","","","","945171","1025682","1068724","983275",
"Gyeonggi-do","14 and under","Sex ratio","","","","","","","","","107.69","109.16","108.19","106.7",
"Gyeonggi-do","15 - 64 Years old","Population[Person]","Person","","","","","","","","5306142","6272884","7363393","8165470",
"Gyeonggi-do","15 - 64 Years old","Male[Person]","Person","","","","","","","","2698910","3185334","3731325","4142119",
"Gyeonggi-do","15 - 64 Years old","Female[Person]","Person","","","","","","","","2607232","3087550","3632068","4023351",
"Gyeonggi-do","15 - 64 Years old","Sex ratio","","","","","","","","","103.52","103.17","102.73","103",
"Gyeonggi-do","65 Years old","Population[Person]","Person","","","","","","","","368693","519256","752603","998567",
"Gyeonggi-do","65 Years old","Male[Person]","Person","","","","","","","","139937","202168","304396","408710",
"Gyeonggi-do","65 Years old","Female[Person]","Person","","","","","","","","228756","317088","448207","589857",
"Gyeonggi-do","65 Years old","Sex ratio","","","","","","","","","61.17","63.76","67.91","69.3",
"Gyeonggi-do","Mean age","Population[Person]","Person","","","","","","","","","31.5","33.79","36.2",
"Gyeonggi-do","Mean age","Male[Person]","Person","","","","","","","","","30.7","33","35.3",
"Gyeonggi-do","Mean age","Female[Person]","Person","","","","","","","","","32.2","34.59","37.1",
"Gyeonggi-do","Mean age","Sex ratio","","","","","","","","","","","0","",
"Gyeonggi-do","Median age","Population[Person]","Person","","","","","","","","","31.2","33.84","36.6",
"Gyeonggi-do","Median age","Male[Person]","Person","","","","","","","","","30.9","33.41","35.9",
"Gyeonggi-do","Median age","Female[Person]","Person","","","","","","","","","31.5","34.25","37.3",
"Gyeonggi-do","Median age","Sex ratio","","","","","","","","","","","0","",
"Gangwon-do","Total","Population[Person]","Person","1636767","1831185","1865426","1860768","1790226","1724146","1579859","1465279","1484536","1460770","1463650",
"Gangwon-do","Total","Male[Person]","Person","836616","936624","953379","954630","914983","880090","801845","740136","746162","733266","735075",
"Gangwon-do","Total","Female[Person]","Person","800151","894561","912047","906138","875243","844056","778014","725143","738374","727504","728575",
"Gangwon-do","Total","Sex ratio","","104.56","104.7","104.53","105.35","104.54","104.27","103.06","102.07","101.05","100.79","100.9",
"Gangwon-do","0-4 Years old","Population[Person]","Person","258985","310551","284120","241905","187151","156318","104958","97225","96333","71549","61847",
"Gangwon-do","0-4 Years old","Male[Person]","Person","131706","160501","146701","124867","96490","80572","54363","51127","50197","37147","31913",
"Gangwon-do","0-4 Years old","Female[Person]","Person","127279","150050","137419","117038","90661","75746","50595","46098","46136","34402","29934",
"Gangwon-do","0-4 Years old","Sex ratio","","103.48","106.97","106.75","106.69","106.43","106.37","107.45","110.91","108.8","107.98","106.6",
"Gangwon-do","5-9 Years old","Population[Person]","Person","258251","308594","290324","265384","227490","175213","140150","96213","102495","95730","71908",
"Gangwon-do","5-9 Years old","Male[Person]","Person","133628","160316","150569","137029","116703","89798","71840","49476","53870","49716","37512",
"Gangwon-do","5-9 Years old","Female[Person]","Person","124623","148278","139755","128355","110787","85415","68310","46737","48625","46014","34396",
"Gangwon-do","5-9 Years old","Sex ratio","","107.23","108.12","107.74","106.76","105.34","105.13","105.17","105.86","110.79","108.05","109.1",
"Gangwon-do","10-14 Years old","Population[Person]","Person","140207","219332","266551","257152","236108","208523","156457","125536","96626","99769","95714",
"Gangwon-do","10-14 Years old","Male[Person]","Person","73784","113532","139304","134214","121571","106696","79273","63954","49973","52152","49675",
"Gangwon-do","10-14 Years old","Female[Person]","Person","66423","105800","127247","122938","114537","101827","77184","61582","46653","47617","46039",
"Gangwon-do","10-14 Years old","Sex ratio","","111.08","107.31","109.48","109.17","106.14","104.78","102.71","103.85","107.12","109.52","107.9",
"Gangwon-do","15-19 Years old","Population[Person]","Person","144035","124586","162074","206580","193449","179372","165842","132911","119965","94643","102384",
"Gangwon-do","15-19 Years old","Male[Person]","Person","77808","65767","85470","111331","105127","98456","87144","68880","62650","49917","55000",
"Gangwon-do","15-19 Years old","Female[Person]","Person","66227","58819","76604","95249","88322","80916","78698","64031","57315","44726","47384",
"Gangwon-do","15-19 Years old","Sex ratio","","117.49","111.81","111.57","116.88","119.03","121.68","110.73","107.57","109.31","111.61","116.1",
"Gangwon-do","20-24 Years old","Population[Person]","Person","150106","137724","114582","144603","175531","163429","148604","133737","116679","108253","92984",
"Gangwon-do","20-24 Years old","Male[Person]","Person","77463","71876","58973","77136","95833","93094","87443","76487","65060","61130","54670",
"Gangwon-do","20-24 Years old","Female[Person]","Person","72643","65848","55609","67467","79698","70335","61161","57250","51619","47123","38314",
"Gangwon-do","20-24 Years old","Sex ratio","","106.64","109.15","106.05","114.33","120.25","132.36","142.97","133.6","126.04","129.72","142.7",
"Gangwon-do","25-29 Years old","Population[Person]","Person","132727","151548","130298","109879","130527","158553","131337","112556","112280","92491","85501",
"Gangwon-do","25-29 Years old","Male[Person]","Person","63202","75463","64646","55529","66811","79688","65533","59184","58008","48540","47241",
"Gangwon-do","25-29 Years old","Female[Person]","Person","69525","76085","65652","54350","63716","78865","65804","53372","54272","43951","38260",
"Gangwon-do","25-29 Years old","Sex ratio","","90.91","99.18","98.47","102.17","104.86","101.04","99.59","110.89","106.88","110.44","123.5",
"Gangwon-do","30-34 Years old","Population[Person]","Person","106438","127753","137546","119075","96350","121867","140278","121267","116622","109236","91411",
"Gangwon-do","30-34 Years old","Male[Person]","Person","51920","64963","70992","60819","48950","63135","70786","61167","60307","55808","46584",
"Gangwon-do","30-34 Years old","Female[Person]","Person","54518","62790","66554","58256","47400","58732","69492","60100","56315","53428","44827",
"Gangwon-do","30-34 Years old","Sex ratio","","95.23","103.46","106.67","104.4","103.27","107.5","101.86","101.78","107.09","104.45","103.9",
"Gangwon-do","35-39 Years old","Population[Person]","Person","98111","95779","109411","123247","104563","90585","110551","131072","125534","115462","110150",
"Gangwon-do","35-39 Years old","Male[Person]","Person","49396","45836","55506","64570","52878","46445","57820","66909","63551","59602","56133",
"Gangwon-do","35-39 Years old","Female[Person]","Person","48715","49943","53905","58677","51685","44140","52731","64163","61983","55860","54017",
"Gangwon-do","35-39 Years old","Sex ratio","","101.4","91.78","102.97","110.04","102.31","105.22","109.65","104.28","102.53","106.7","103.9",
"Gangwon-do","40-44 Years old","Population[Person]","Person","81406","85540","83644","94192","108701","95228","80330","99587","128641","121889","117177",
"Gangwon-do","40-44 Years old","Male[Person]","Person","42677","42862","39466","47374","56332","47933","41219","52094","66131","62369","60341",
"Gangwon-do","40-44 Years old","Female[Person]","Person","38729","42678","44178","46818","52369","47295","39111","47493","62510","59520","56836",
"Gangwon-do","40-44 Years old","Sex ratio","","110.19","100.43","89.33","101.19","107.57","101.35","105.39","109.69","105.79","104.79","106.2",
"Gangwon-do","45-49 Years old","Population[Person]","Person","73429","72501","76080","72740","87156","100310","87912","73949","97115","125293","121477",
"Gangwon-do","45-49 Years old","Male[Person]","Person","38196","37767","38306","33182","43362","50998","44039","37284","49997","64012","61751",
"Gangwon-do","45-49 Years old","Female[Person]","Person","35233","34734","37774","39558","43794","49312","43873","36665","47118","61281","59726",
"Gangwon-do","45-49 Years old","Sex ratio","","108.41","108.73","101.41","83.88","99.01","103.42","100.38","101.69","106.11","104.46","103.4",
"Gangwon-do","50-54 Years old","Population[Person]","Person","60782","62533","63992","65071","64485","78232","89536","79128","71205","94409","124021",
"Gangwon-do","50-54 Years old","Male[Person]","Person","32600","32075","32835","32243","29402","38150","45090","38925","35326","48109","62321",
"Gangwon-do","50-54 Years old","Female[Person]","Person","28182","30458","31157","32828","35083","40082","44446","40203","35879","46300","61700",
"Gangwon-do","50-54 Years old","Sex ratio","","115.68","105.31","105.39","98.22","83.81","95.18","101.45","96.82","98.46","103.91","101",
"Gangwon-do","55-59 Years old","Population[Person]","Person","43049","50955","52835","55221","57739","59343","70039","81763","76281","69984","93016",
"Gangwon-do","55-59 Years old","Male[Person]","Person","22066","26466","26880","27629","27598","26311","33442","39796","36241","33955","46372",
"Gangwon-do","55-59 Years old","Female[Person]","Person","20983","24489","25955","27592","30141","33032","36597","41967","40040","36029","46644",
"Gangwon-do","55-59 Years old","Sex ratio","","105.16","108.07","103.56","100.13","91.56","79.65","91.38","94.83","90.51","94.24","99.4",
"Gangwon-do","60-64 Years old","Population[Person]","Person","33838","32987","40353","42628","45519","48790","50953","62505","77606","74068","69649",
"Gangwon-do","60-64 Years old","Male[Person]","Person","16641","16135","19967","20673","21677","22098","21767","28695","36501","34255","33319",
"Gangwon-do","60-64 Years old","Female[Person]","Person","17197","16852","20386","21955","23842","26692","29186","33810","41105","39813","36330",
"Gangwon-do","60-64 Years old","Sex ratio","","96.77","95.75","97.94","94.16","90.92","82.79","74.58","84.87","88.8","86.04","91.7",
"Gangwon-do","65-69 Years old","Population[Person]","Person","24149","23676","23811","31244","34151","37980","41575","45040","58531","72909","72062",
"Gangwon-do","65-69 Years old","Male[Person]","Person","11141","11028","11006","14867","15475","17119","18255","18384","25768","33173","32575",
"Gangwon-do","65-69 Years old","Female[Person]","Person","13008","12648","12805","16377","18676","20861","23320","26656","32763","39736","39487",
"Gangwon-do","65-69 Years old","Sex ratio","","85.65","87.19","85.95","90.78","82.86","82.06","78.28","68.97","78.65","83.48","82.5",
"Gangwon-do","70-74 Years old","Population[Person]","Person","17335","14874","15870","16442","23238","26287","29885","33982","39729","53211","68047",
"Gangwon-do","70-74 Years old","Male[Person]","Person","8078","6769","7043","7173","10201","11042","12718","13958","15347","22348","29868",
"Gangwon-do","70-74 Years old","Female[Person]","Person","9257","8105","8827","9269","13037","15245","17167","20024","24382","30863","38179",
"Gangwon-do","70-74 Years old","Sex ratio","","87.26","83.52","79.79","77.39","78.25","72.43","74.08","69.71","62.94","72.41","78.2",
"Gangwon-do","75-79 Years old","Population[Person]","Person","8097","8424","9030","9547","10954","15537","18616","21998","26662","32554","44810",
"Gangwon-do","75-79 Years old","Male[Person]","Person","3612","3666","3800","3873","4207","5931","7117","8510","10056","11654","17227",
"Gangwon-do","75-79 Years old","Female[Person]","Person","4485","4758","5230","5674","6747","9606","11499","13488","16606","20900","27583",
"Gangwon-do","75-79 Years old","Sex ratio","","80.54","77.05","72.66","68.26","62.35","61.74","61.89","63.09","60.56","55.76","62.5",
"Gangwon-do","80-84 Years old","Population[Person]","Person","3685","2793","3683","4177","4965","5897","9115","11329","14423","18761","25239",
"Gangwon-do","80-84 Years old","Male[Person]","Person","1674","1174","1456","1561","1732","1858","3023","3832","4962","6356","7894",
"Gangwon-do","80-84 Years old","Female[Person]","Person","2011","1619","2227","2616","3233","4039","6092","7497","9461","12405","17345",
"Gangwon-do","80-84 Years old","Sex ratio","","83.24","72.51","65.38","59.67","53.57","46","49.62","51.11","52.45","51.24","45.5",
"Gangwon-do","85 Years old & over","Population[Person]","Person","1124","1027","1222","1681","2149","2682","3714","5479","7497","10559","16253",
"Gangwon-do","85 Years old & over","Male[Person]","Person","482","420","459","560","634","766","970","1472","2026","3023","4679",
"Gangwon-do","85 Years old & over","Female[Person]","Person","642","607","763","1121","1515","1916","2744","4007","5471","7536","11574",
"Gangwon-do","85 Years old & over","Sex ratio","","75.08","69.19","60.16","49.96","41.85","39.98","35.35","36.74","37.03","40.11","40.4",
"Gangwon-do","Age unknown","Population[Person]","Person","1013","8","","","","","7","2","312","0","",
"Gangwon-do","Age unknown","Male[Person]","Person","542","8","","","","","3","2","191","0","",
"Gangwon-do","Age unknown","Female[Person]","Person","471","","","","","","4","0","121","0","",
"Gangwon-do","Age unknown","Sex ratio","","115.07","0","","","","","75","0","157.85","0","",
"Gangwon-do","14 and under","Population[Person]","Person","","","","","","","","318974","295454","267048","229469",
"Gangwon-do","14 and under","Male[Person]","Person","","","","","","","","164557","154040","139015","119100",
"Gangwon-do","14 and under","Female[Person]","Person","","","","","","","","154417","141414","128033","110369",
"Gangwon-do","14 and under","Sex ratio","","","","","","","","","106.57","108.93","108.58","107.9",
"Gangwon-do","15 - 64 Years old","Population[Person]","Person","","","","","","","","1028475","1041928","1005728","1007770",
"Gangwon-do","15 - 64 Years old","Male[Person]","Person","","","","","","","","529421","533772","517697","523732",
"Gangwon-do","15 - 64 Years old","Female[Person]","Person","","","","","","","","499054","508156","488031","484038",
"Gangwon-do","15 - 64 Years old","Sex ratio","","","","","","","","","106.08","105.04","106.08","108.2",
"Gangwon-do","65 Years old","Population[Person]","Person","","","","","","","","117828","146842","187994","226411",
"Gangwon-do","65 Years old","Male[Person]","Person","","","","","","","","46156","58159","76554","92243",
"Gangwon-do","65 Years old","Female[Person]","Person","","","","","","","","71672","88683","111440","134168",
"Gangwon-do","65 Years old","Sex ratio","","","","","","","","","64.4","65.58","68.7","68.8",
"Gangwon-do","Mean age","Population[Person]","Person","","","","","","","","","35.2","37.77","40.3",
"Gangwon-do","Mean age","Male[Person]","Person","","","","","","","","","33.9","36.29","38.6",
"Gangwon-do","Mean age","Female[Person]","Person","","","","","","","","","36.6","39.27","42",
"Gangwon-do","Mean age","Sex ratio","","","","","","","","","","","0","",
"Gangwon-do","Median age","Population[Person]","Person","","","","","","","","","34.2","37.51","40.8",
"Gangwon-do","Median age","Male[Person]","Person","","","","","","","","","32.7","36.01","39.1",
"Gangwon-do","Median age","Female[Person]","Person","","","","","","","","","35.7","39.17","42.6",
"Gangwon-do","Median age","Sex ratio","","","","","","","","","","","0","",
"Chungcheongbuk-do","Total","Population[Person]","Person","1369780","1548821","1480338","1521348","1423381","1390326","1389222","1395460","1462621","1453872","1495984",
"Chungcheongbuk-do","Total","Male[Person]","Person","695191","790008","753230","777509","724327","706282","696806","699442","734196","730084","748622",
"Chungcheongbuk-do","Total","Female[Person]","Person","674589","758813","727108","743839","699054","684044","692416","696018","728425","723788","747362",
"Chungcheongbuk-do","Total","Sex ratio","","103.05","104.11","103.59","104.53","103.62","103.25","100.63","100.49","100.79","100.87","100.2",
"Chungcheongbuk-do","0-4 Years old","Population[Person]","Person","207108","256540","208661","177733","133788","118328","97706","101912","99864","73416","69258",
"Chungcheongbuk-do","0-4 Years old","Male[Person]","Person","107066","133407","108158","92271","69604","61152","51428","54335","52360","38232","35693",
"Chungcheongbuk-do","0-4 Years old","Female[Person]","Person","100042","123133","100503","85462","64184","57176","46278","47577","47504","35184","33565",
"Chungcheongbuk-do","0-4 Years old","Sex ratio","","107.02","108.34","107.62","107.97","108.44","106.95","111.13","114.2","110.22","108.66","106.3",
"Chungcheongbuk-do","5-9 Years old","Population[Person]","Person","218404","258654","238399","205452","169772","133521","123665","95120","107656","99429","75891",
"Chungcheongbuk-do","5-9 Years old","Male[Person]","Person","113800","134882","123897","106184","87369","68878","63796","50013","57333","51960","39447",
"Chungcheongbuk-do","5-9 Years old","Female[Person]","Person","104604","123772","114502","99268","82403","64643","59869","45107","50323","47469","36444",
"Chungcheongbuk-do","5-9 Years old","Sex ratio","","108.79","108.98","108.21","106.97","106.03","106.55","106.56","110.88","113.93","109.46","108.2",
"Chungcheongbuk-do","10-14 Years old","Population[Person]","Person","139400","198811","225005","222834","187694","162164","134540","117827","97254","106124","101753",
"Chungcheongbuk-do","10-14 Years old","Male[Person]","Person","73941","103868","118340","116493","96903","83311","69172","60261","51150","56285","53085",
"Chungcheongbuk-do","10-14 Years old","Female[Person]","Person","65459","94943","106665","106341","90791","78853","65368","57566","46104","49839","48668",
"Chungcheongbuk-do","10-14 Years old","Sex ratio","","112.96","109.4","110.95","109.55","106.73","105.65","105.82","104.68","110.94","112.93","109.1",
"Chungcheongbuk-do","15-19 Years old","Population[Person]","Person","118698","117423","127903","175395","160037","151508","145308","126401","121257","98694","110193",
"Chungcheongbuk-do","15-19 Years old","Male[Person]","Person","63789","63281","69181","94240","86929","80982","73813","64371","62246","52483","59054",
"Chungcheongbuk-do","15-19 Years old","Female[Person]","Person","54909","54142","58722","81155","73108","70526","71495","62030","59011","46211","51139",
"Chungcheongbuk-do","15-19 Years old","Sex ratio","","116.17","116.88","117.81","116.12","118.9","114.83","103.24","103.77","105.48","113.57","115.5",
"Chungcheongbuk-do","20-24 Years old","Population[Person]","Person","123441","110126","87635","125993","141354","139234","134984","131353","124240","114956","96955",
"Chungcheongbuk-do","20-24 Years old","Male[Person]","Person","65629","60080","49452","71229","80170","81490","74786","70351","66196","61919","53167",
"Chungcheongbuk-do","20-24 Years old","Female[Person]","Person","57812","50046","38183","54764","61184","57744","60198","61002","58044","53037","43788",
"Chungcheongbuk-do","20-24 Years old","Sex ratio","","113.52","120.05","129.51","130.07","131.03","141.12","124.23","115.33","114.04","116.75","121.4",
"Chungcheongbuk-do","25-29 Years old","Population[Person]","Person","102320","111719","84273","80985","96738","117001","113912","114139","116575","100556","99156",
"Chungcheongbuk-do","25-29 Years old","Male[Person]","Person","50045","57396","42105","42750","49703","59897","57308","58250","59895","52863","52374",
"Chungcheongbuk-do","25-29 Years old","Female[Person]","Person","52275","54323","42168","38235","47035","57104","56604","55889","56680","47693","46782",
"Chungcheongbuk-do","25-29 Years old","Sex ratio","","95.73","105.66","99.85","111.81","105.67","104.89","101.24","104.22","105.67","110.84","112",
"Chungcheongbuk-do","30-34 Years old","Population[Person]","Person","76126","99066","94139","82132","70723","92543","115994","118472","118647","111568","102444",
"Chungcheongbuk-do","30-34 Years old","Male[Person]","Person","34626","49122","47023","41116","36279","47513","59042","60510","60514","56552","52608",
"Chungcheongbuk-do","30-34 Years old","Female[Person]","Person","41500","49944","47116","41016","34444","45030","56952","57962","58133","55016","49836",
"Chungcheongbuk-do","30-34 Years old","Sex ratio","","83.44","98.35","99.8","100.24","105.33","105.51","103.67","104.4","104.1","102.79","105.6",
"Chungcheongbuk-do","35-39 Years old","Population[Person]","Person","73382","74782","83575","92275","75983","69865","94887","119228","124308","118597","116506",
"Chungcheongbuk-do","35-39 Years old","Male[Person]","Person","34607","34196","39540","46613","37514","35861","48931","61593","63870","60032","59095",
"Chungcheongbuk-do","35-39 Years old","Female[Person]","Person","38775","40586","44035","45662","38469","34004","45956","57635","60438","58565","57411",
"Chungcheongbuk-do","35-39 Years old","Sex ratio","","89.25","84.26","89.79","102.08","97.52","105.46","106.47","106.87","105.68","102.5","102.9",
"Chungcheongbuk-do","40-44 Years old","Population[Person]","Person","66509","69366","67653","79489","84859","72003","68592","91544","120075","121582","123479",
"Chungcheongbuk-do","40-44 Years old","Male[Person]","Person","32707","33183","30821","37950","42511","35563","35539","47482","62391","62776","62779",
"Chungcheongbuk-do","40-44 Years old","Female[Person]","Person","33802","36183","36832","41539","42348","36440","33053","44062","57684","58806","60700",
"Chungcheongbuk-do","40-44 Years old","Sex ratio","","96.76","91.71","83.68","91.36","100.38","97.59","107.52","107.76","108.16","106.75","103.4",
"Chungcheongbuk-do","45-49 Years old","Population[Person]","Person","61847","61784","63516","64063","75158","80727","70773","66840","90727","116926","123065",
"Chungcheongbuk-do","45-49 Years old","Male[Person]","Person","30941","30361","30361","28909","35447","39962","34791","34395","46666","60333","63404",
"Chungcheongbuk-do","45-49 Years old","Female[Person]","Person","30906","31423","33155","35154","39711","40765","35982","32445","44061","56593","59661",
